,,"Продажа автомобилей ""MB Motors""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""MB Motors""
				ул. ХаГистадрут 33, Хайфа								Тел. 04-6211151, 052-3257457http://mbmotorscar.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Адвокат - нотариус Эрез (Игорь) Калантыря","Услуги (114) ","
				Адвокат - нотариус Эрез (Игорь) Калантыря
				ул. Гошен 6, Кирьят Моцкин								Тел. 04-8731306, 054-7760002",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:michael@levitlaw.co.il,michael@levitlaw.co.il,"Адвокат - нотариус в Тель-Авиве Михаил Левит","Услуги (114) ","
				Адвокат - нотариус в Тель-Авиве Михаил Левит
				ул. Абоним 2, Рамат-Ган								Тел. 03-6121158, 050-5261316				Факс. 03-7512671michael@levitlaw.co.ilhttp://levitlaw.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/2
,,"Перевозки в Израиле","Услуги (114) ","
				Перевозки в Израиле
				Весь Израиль								Тел. 054-4541680http://movingisrael.co.il/rus",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:morans12.law@gmail.com,morans12.law@gmail.com,"Адвокат в Крайот Моран Савьон","Услуги (114) ","
				Адвокат в Крайот Моран Савьон
				ул. Шд. Бен-Гурион 64, Кирьят-Моцкин								Тел. 04-8770002, 04-8770090				Факс. 04-8770094morans12.law@gmail.comhttp://savyon-law.com",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:auris1com@gmail.com,auris1com@gmail.com,"Ремонт квартир, сантехник, электрик ""Ариус""","Услуги (114) ","
				Ремонт квартир, сантехник, электрик ""Ариус""
				Кармиэль, Север Израиля								Тел. 052-6211568, 054-2999151, 04-8214662auris1com@gmail.comhttps://facebook.com/profile.php?id=100008116812187&fref=ts",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:ilanabh85@gmail.com,ilanabh85@gmail.com,"Адвокат и медиатор Илана Бен Хаим","Услуги (114) ","
				Адвокат и медиатор Илана Бен Хаим
				ул. Моше Гошен 91, Кирьят Моцкин				(5-й эт.)				Тел. 050-7724284, 04-8730130				Факс. 04-8733010ilanabh85@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:alissa_driker@yahoo.com,alissa_driker@yahoo.com,"Адвокат Алиса Дрикерман","Услуги (114) ","
				Адвокат Алиса Дрикерман
				ул. ХаХарошет 11, Кармиэль				(2-й эт., рядом с ""Мебель Зильбер"")				Тел. 050-4877711				Факс. 04-6781122alissa_driker@yahoo.comhttp://drikman.kidumnet.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:natali312@walla.com,natali312@walla.com,"Адвокат Темцин Натали","Услуги (114) ","
				Адвокат Темцин Натали
				ул. ХаХарошет 49, Кармиэль								Тел. 052-8781738natali312@walla.com",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:rismans@hotmail.com,rismans@hotmail.com,"Адвокат в Ашкелоне Сергей Рисман","Услуги (114) ","
				Адвокат в Ашкелоне Сергей Рисман
				ул. Герцель 5, Ашкелон				(5-й этаж)				Тел. 08-6782699, 054-7373121rismans@hotmail.comhttp://rismanslaw.gid.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:irena.laws@gmail.com,irena.laws@gmail.com,"Адвокат в Кармиэле Ирена Айзенберг","Услуги (114) ","
				Адвокат в Кармиэле Ирена Айзенберг
				ул. ХаХарошет 5, Кармиэль				(рядом с б.к. ""Меухэдэт"")				Тел. 052-6611989, 04-8260650				Факс. 072-2578574irena.laws@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:myshka13@gmail.com,myshka13@gmail.com,"Адвокат в Хайфе Елизавета Карапетова","Услуги (114) ","
				Адвокат в Хайфе Елизавета Карапетова
				ул. Бялик 3, Хайфа 				(9-й эт.)				Тел. 04-8699855, 054-4458013				Факс. 04-8650840myshka13@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:yasin_w@netvision.net.il,yasin_w@netvision.net.il,"Адвокат-нотариус Ясин Висам","Услуги (114) ","
				Адвокат-нотариус Ясин Висам
				ул. ХаАцмаут 59, Кирьят Ата								Тел. 04-8448639, 04-8435266				Факс. 04-8438915yasin_w@netvision.net.il",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:adv.slava@gmail.com,adv.slava@gmail.com,"Адвокат в Хайфе Вячеслав Пикус","Услуги (114) ","
				Адвокат в Хайфе Вячеслав Пикус
				ул. ХаМегеним 44, Хайфа								Тел. 04-8538860, 052-3243722				Факс. 04–8538860adv.slava@gmail.comhttp://adv-pikus.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:snecasim@gmail.com,snecasim@gmail.com,"Недвижимость в Крайот ""Шакед Некасим""","Услуги (114) ","
				Недвижимость в Крайот ""Шакед Некасим""
				ул. Ахи Эйлат 16, Кирьят Хаим								Тел. 050-6759746				Факс. 04-8724240snecasim@gmail.comhttp://shakedn.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:72ilina@walla.co.il,72ilina@walla.co.il,"Адвокат-нотариус Илина Циперсон-Ясловиц","Услуги (114) ","
				Адвокат-нотариус Илина Циперсон-Ясловиц
				ул. ХаАцмацут 43, Хайфа				(5 эт.)				Тел. 052-3404848, 054-5983937				Факс. 04-864096472ilina@walla.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/2
mailto:allanem2001@yahoo.com,allanem2001@yahoo.com,"Адвокат-нотариус в Холоне Алла Немировская","Услуги (114) ","
				Адвокат-нотариус в Холоне Алла Немировская
				ул. Профессор Шор 45/15, Холон				(4-й этаж)				Тел. 03-5581911, 052-2217749 				Факс. 03-5581911allanem2001@yahoo.comhttp://advocatnemirovsky.com",http://info24.co.il/coupons/vse-goroda/uslugi/2
,,"Адвокат Валерия Коэн","Услуги (114) ","
				Адвокат Валерия Коэн
				ул. Звулун 3, Кирьят-Ата								Тел. 054-9738446				Факс. 077-5060420https://facebook.com/valeria.cohen.7",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:erantiwto512@gmail.com,erantiwto512@gmail.com,"Ландшафтный дизайн, перголы, оранжерея ""Эран Гинун""","Услуги (114) ","
				Ландшафтный дизайн, перголы, оранжерея ""Эран Гинун""
				Кирьят-Ата								Тел. 04-8452672, 050-2699891erantiwto512@gmail.comhttp://www.גנניםבקריות.com",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:efraimlaw@gmail.com,efraimlaw@gmail.com,"Адвокат в Беэр-Шеве Эфраим Танхиль","Услуги (114) ","
				Адвокат в Беэр-Шеве Эфраим Танхиль
				ул. Герцль 28, Беэр-Шева								Тел. 08-6272944, 08-6272955, 08-6272966				Факс. 08-6272988 efraimlaw@gmail.comhttp://efraimlaw.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/3
,,"Детективное агентство ""ש.ע.ש 363""","Услуги (114) ","
				Детективное агентство ""ש.ע.ש 363""
				ул. ХаТе'еним 22, Кирьят-Ата								Тел. 050-5067809, 077-9511461				Факс. 057-256717http://sas363.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:semionparnes@yahoo.com,semionparnes@yahoo.com,"Адвокат в Хайфе Семен Парнес","Услуги (114) ","
				Адвокат в Хайфе Семен Парнес
				ул. Паль-Ям 5, Хайфа				(9-й эт.)				Тел. 052-3709348, 04-8667717				Факс. 04-8667770semionparnes@yahoo.com",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:evgenymendus@ambulang.com,evgenymendus@ambulang.com,"Бюро переводов в Израиле ""Ambulang Trans""","Услуги (114) ","
				Бюро переводов в Израиле ""Ambulang Trans""
				ул. Ахалуц 39, Хайфа								Тел. 077-7510053, 054-6816607, 054-6816608evgenymendus@ambulang.comhttp://ambulang.com",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:riad@haj-law.com,riad@haj-law.com,"Адвокат по налоговому праву Риад Хадж","Услуги (114) ","
				Адвокат по налоговому праву Риад Хадж
				Тель-Авив - Хайфа								Тел. 052-8666848, 077-4701026riad@haj-law.comhttp://haj-law.com",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:H.Bouskila.Law@gmail.com,H.Bouskila.Law@gmail.com,"Адвокат (экономист) Ханна Бускила","Услуги (114) ","
				Адвокат (экономист) Ханна Бускила
				ул. ХаЦионут 6, Кирьят-Ата								Тел. 04-8440252				Факс. 04-8436698H.Bouskila.Law@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:marinabor@bezeqint.net,marinabor@bezeqint.net,"Адвокат - нотариус в Хайфе Марина Борода","Услуги (114) ","
				Адвокат - нотариус в Хайфе Марина Борода
				ул. Шиват Цион 21, Хайфа				(2-й эт.)				Тел. 04-8620478, 052-8322826marinabor@bezeqint.nethttp://borodalaw.com",http://info24.co.il/coupons/vse-goroda/uslugi/3
,,"Знакомства в Израиле - сайт RusDate","Услуги (114) ","
				Знакомства в Израиле - сайт RusDate
				Весь Израиль								Тел. Служба знакомств и общенияhttp://rusdate.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:idesign.v@gmail.com,idesign.v@gmail.com,"Студия дизайна и архитектуры I.V.Design","Услуги (114) ","
				Студия дизайна и архитектуры I.V.Design
				ул. Сдерот Гошен 14, Кирьят Мотцкин								Тел. 054-4366437				Факс. 077-7050656idesign.v@gmail.comhttp://www.ivdesign.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:designpluscoil@gmail.com,designpluscoil@gmail.com,"Архитектурно-дизайнерское бюро “ DesignPlus”","Услуги (114) ","
				Архитектурно-дизайнерское бюро “ DesignPlus”
				ул. ХаАцмаут 83, Кирьят-Ата				(офис 9)				Тел. 052-8781076, 054-7693154, 04-8480032designpluscoil@gmail.comhttp://designplus.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:tivuh_fortuna@walla.com,tivuh_fortuna@walla.com,"Недвижимость в Крайот - ""Тивух Фортуна""","Услуги (114) ","
				Недвижимость в Крайот - ""Тивух Фортуна""
				ул. Керен ХаЙесод 72, Кирьят Бялик								Тел. 04-8752775, 052-2654193tivuh_fortuna@walla.comhttp://dom.co.il/listings-from-%D0%A4%D0%BE%D1%80%D1%82%D1%83%D0%BD%D0%B0-45-all",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:gi2000@gi2000.co.il,gi2000@gi2000.co.il,"Агентство по недвижимости ""G&i 2000""","Услуги (114) ","
				Агентство по недвижимости ""G&i 2000""
				ул. ХаГаатон 16, Нагария								Тел. 052-2343320, 04-9512345, 052-3323665				Факс. 04-9512344gi2000@gi2000.co.ilhttp://gi2000.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:salimwakeem@walla.com,salimwakeem@walla.com,"Адвокатская контора ""Салим Ваким""","Услуги (114) ","
				Адвокатская контора ""Салим Ваким""
				ул. ХаГаатон 1, Нагария								Тел. 04-9921220, 04-9510668, 052-6394703				Факс. 04-9925754salimwakeem@walla.com",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:glideri@netvision.net.il,glideri@netvision.net.il,"Адвокат - нотариус в Хайфе Игорь Глидер","Услуги (114) ","
				Адвокат - нотариус в Хайфе Игорь Глидер
				ул. Шмарьяу Левин 24, Хайфа								Тел. 04-8621217, 052-6634263				Факс. 04-8660038glideri@netvision.net.ilhttp://infolaw.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:elmi4u@gmail.com,elmi4u@gmail.com,"Служба знакомств в Израиле - Elmi","Услуги (114) ","
				Служба знакомств в Израиле - Elmi
				 ул. Герцель 16, офис 212 , Хайфа								Тел. 054-7607940elmi4u@gmail.comhttp://elmi4u.com",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:fineirena@gmail.com,fineirena@gmail.com,"Нотариус и адвокат в Реховоте Ирена Файн","Услуги (114) ","
				Нотариус и адвокат в Реховоте Ирена Файн
				ул. Ахад Ха'Ам 1, Реховот								Тел. 072-2595557, 050-304-8949fineirena@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/3
mailto:shadyadv@yahoo.com,shadyadv@yahoo.com,"Адвокат в Крайот Шади Андреус","Услуги (114) ","
				Адвокат в Крайот Шади Андреус
				ул. Гошен 31, Кирьят Моцкин								Тел. 04-8715819, 052-2827298				Факс. 04-8738162shadyadv@yahoo.com",http://info24.co.il/coupons/vse-goroda/uslugi/4
mailto:kanerilana@gmail.com,kanerilana@gmail.com,"Адвокат-нотариус в Нагарии Илана Канер","Услуги (114) ","
				Адвокат-нотариус в Нагарии Илана Канер
				ул. Лохамей ХаГетаот 12/12, Нагария								Тел. 04-9510618, 054-3072799kanerilana@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/4
mailto:alerner.adv@gmail.com,alerner.adv@gmail.com,"Адвокат в Беэр-Шеве Арие Лернер","Услуги (114) ","
				Адвокат в Беэр-Шеве Арие Лернер
				ул. Герцель 91, Беэр-Шева				(4-й эт.)				Тел. 072-2333460, 054-6342329				Факс. 072-2447008alerner.adv@gmail.comhttp://alerner-law.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/4
,,"Уничтожение насекомых ""Хаматбир""","Услуги (114) ","
				Уничтожение насекомых ""Хаматбир""
				Хайфа, Крайот, Йокнеам, Акко								Тел. 052-2535093",http://info24.co.il/coupons/vse-goroda/uslugi/4
mailto:arbat@012.net.il,arbat@012.net.il,"Туристическое агентство ""Арбат""","Услуги (114) ","
				Туристическое агентство ""Арбат""
				ул. Пинхас Лавон 13/14, Кирьят Ям				(Мерказ Месхари)				Тел. 04-8761451, 04-8747100, 050-7192792				Факс. 04-8747722arbat@012.net.il",http://info24.co.il/coupons/vse-goroda/uslugi/4
mailto:gila@einy-law.co.il,gila@einy-law.co.il,"Адвокат - медиатор Гила Эйни","Услуги (114) ","
				Адвокат - медиатор Гила Эйни
				ул. Харув 83, Модиин								Тел. 08-9573333, 052-8342566				Факс. 08-9573332gila@einy-law.co.ilhttp://gila.einy-law.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/4
mailto:sagy@shmuely-law.co.il,sagy@shmuely-law.co.il,"Адвокат Саги Рубински - врачебная халатность","Услуги (114) ","
				Адвокат Саги Рубински - врачебная халатность
				ул. Шмарьяху Левин 24, Хайфа				(2-й эт.)				Тел. 04-8674875, 04-8674876				Факс. 04-8674450sagy@shmuely-law.co.ilhttp://shmuely-law.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/4
,,"Перевозки в Израиле -""Шелег""","Услуги (114) ","
				Перевозки в Израиле -""Шелег""
				Тель-Авив, Хайфа, Весь Израиль								Тел. 054-4511687, 1700-504543",http://info24.co.il/coupons/vse-goroda/uslugi/4
mailto:yonelsibony@gmail.com,yonelsibony@gmail.com,"Ремонт квартир и дизайн интерьера в Тель-Авиве","Услуги (114) ","
				Ремонт квартир и дизайн интерьера в Тель-Авиве
				Тель-Авив, Гуш-Дан								Тел. 054-5657007yonelsibony@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/4
mailto:aska1@bezeqint.net,aska1@bezeqint.net,"Адвокат-нотариус в Холоне Алекс Капустянский","Услуги (114) ","
				Адвокат-нотариус в Холоне Алекс Капустянский
				ул. Соколов 70а, Холон								Тел. 03-5012607				Факс. 03-5013134 aska1@bezeqint.net",http://info24.co.il/coupons/vse-goroda/uslugi/4
,,"Ремонт квартир, сантехники, электрики ""L- Kuper""","Услуги (114) ","
				Ремонт квартир, сантехники, электрики ""L- Kuper""
				ул. Бен Иегуда 8, Хайфа								Тел. 052-5585458, 054-2648146",http://info24.co.il/coupons/vse-goroda/uslugi/4
,,"Ремонт квартир в Израиле ""Золотые руки""","Услуги (114) ","
				Ремонт квартир в Израиле ""Золотые руки""
				Север Израиля								Тел. 054-4498093, 052-3977523",http://info24.co.il/coupons/vse-goroda/uslugi/4
mailto:advocatisrael@gmail.com,advocatisrael@gmail.com,"Адвокат-нотариус в Хайфе Таня Левин-Кфир","Услуги (114) ","
				Адвокат-нотариус в Хайфе Таня Левин-Кфир
				ул. Ацмаут 37, Хайфа								Тел. 04-8664531advocatisrael@gmail.comhttp://advocat-v-haife.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/4
,,"Перевозки в Израиле ""Перевозки Виктория""","Услуги (114) ","
				Перевозки в Израиле ""Перевозки Виктория""
				Тель-Авив - Гуш-Дан - Весь Израиль								Тел. 050-8316664",http://info24.co.il/coupons/vse-goroda/uslugi/4
mailto:masb281@gmail.com,masb281@gmail.com,"Бухгалтерия и аудит ""Б.Р.К Хэшбонаут вемисим""","Услуги (114) ","
				Бухгалтерия и аудит ""Б.Р.К Хэшбонаут вемисим""
				ул. Ша'ар Пальмер 1, Хайфа								Тел. 04-8642682				Факс. 04-8660081masb281@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/4
mailto:irina8622878@gmail.com,irina8622878@gmail.com,"Адвокат - нотариус в Хайфе Ирина Авербух","Услуги (114) ","
				Адвокат - нотариус в Хайфе Ирина Авербух
				Ул. Нордау 21, Хайфа								Тел. 04-8622878, 04-8624406, 054-6211008				Факс. 04-8665396irina8622878@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/4
mailto:wortmanlaw@gmail.com,wortmanlaw@gmail.com,"Адвокат в Хайфе Марк Вортман","Услуги (114) ","
				Адвокат в Хайфе Марк Вортман
				ул. Паль Ям 2, Хайфа				(1-й эт.)				Тел. 054-5515431, 077-7006291				Факс. 153-4-8226201wortmanlaw@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/4
,,"Сантехнические и строительные работы Амир","Услуги (114) ","
				Сантехнические и строительные работы Амир
				Хайфа - Крайот, весь Север Израиля								Тел. 1-700-500-141, 052-3992494",http://info24.co.il/coupons/vse-goroda/uslugi/4
mailto:stave_y@netvision.net.il,stave_y@netvision.net.il,"Адвокат в Хайфе Йохав Стейв","Услуги (114) ","
				Адвокат в Хайфе Йохав Стейв
				ул. Маале ХаШихрур 19, Хайфа								Тел. 04-8624040, 050-5340270				Факс. 04-8626888stave_y@netvision.net.ilhttp://yaav_stave.zapages.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/5
mailto:allmedkaplan@gmail.com,allmedkaplan@gmail.com,"Экспертные медицинские заключения для суда","Услуги (114) ","
				Экспертные медицинские заключения для суда
				ул. Голда Меир 3, Нес Циона								Тел. 08-9368895, 055-2220700				Факс. 08-8606110allmedkaplan@gmail.comhttp://allmed.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/5
,,"Адвокат в Нагарии Рами Джириес","Услуги (114) ","
				Адвокат в Нагарии Рами Джириес
				ул. ХаГаатон 29, Нагария								Тел. 054-5201575, 04-9001588				Факс. 04-9001589",http://info24.co.il/coupons/vse-goroda/uslugi/5
mailto:taavura.adv@gmail.com,taavura.adv@gmail.com,"Адвокат в Хайфе Ольга Шац Авербах","Услуги (114) ","
				Адвокат в Хайфе Ольга Шац Авербах
				ул. Паль Ям 16, Хайфа				(11-й эт.)				Тел. 054-5601850, 04-8677474taavura.adv@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/5
mailto:naimlaw@zahav.net.il,naimlaw@zahav.net.il,"Адвокат-нотариус в Нагарии Наим М. Нахла","Услуги (114) ","
				Адвокат-нотариус в Нагарии Наим М. Нахла
				ул. ХаГаатон 20, Нагария				(2-й этаж)				Тел. 04-9000166, 050-5592510				Факс. 057-7974874naimlaw@zahav.net.il",http://info24.co.il/coupons/vse-goroda/uslugi/5
mailto:penthousenol@gmail.com,penthousenol@gmail.com,"Недвижимость в Кармиэле - Penthouse","Услуги (114) ","
				Недвижимость в Кармиэле - Penthouse
				ул. Мисгав 15, Кармиэль								Тел. 050-9587755, 04-9587730				Факс. 04-9128663penthousenol@gmail.comhttps://facebook.com/penthousenadlan",http://info24.co.il/coupons/vse-goroda/uslugi/5
mailto:blanga.law.firm@gmail.com,blanga.law.firm@gmail.com,"Адвокат в Нагарии Иешуа Баланга","Услуги (114) ","
				Адвокат в Нагарии Иешуа Баланга
				Ул. Лохамей ХаГетаот 12/11, Нагария				(2-й эт.)				Тел. 077-7172983, 052-4735212blanga.law.firm@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/5
mailto:narkislaw@gmail.com,narkislaw@gmail.com,"Адвокаты в Хайфе Лави и Клугерман","Услуги (114) ","
				Адвокаты в Хайфе Лави и Клугерман
				ул. Паль-Ям 16, Хайфа				(7-й эт.)				Тел. 054-6271317, 04-8581441, 052-7454711narkislaw@gmail.comhttp://narkislaw.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/5
,,"Инсталлятор, электрик, ремонт квартир","Услуги (114) ","
				Инсталлятор, электрик, ремонт квартир
				Крайот-Хайфа-Весь Север Израиля								Тел. 054-5453089",http://info24.co.il/coupons/vse-goroda/uslugi/5
mailto:albatof@walla.com,albatof@walla.com,"Двери, Бойлеры, Маклер ""Элбатов""","Услуги (114) ","
				Двери, Бойлеры, Маклер ""Элбатов""
				ул. ХаХарошет 11, Кармиэль				(2-й этаж)				Тел. 04-9981005, 054-4336406				Факс. 04-9881426albatof@walla.com",http://info24.co.il/coupons/vse-goroda/uslugi/5
mailto:eliko1964@walla.com,eliko1964@walla.com,"Агентство по недвижимости ""Топ Надлан""","Услуги (114) ","
				Агентство по недвижимости ""Топ Надлан""
				ул. Герцль 38, Нагария								Тел. 04-9000360, 054-2065555				Факс. 04-9000059eliko1964@walla.com",http://info24.co.il/coupons/vse-goroda/uslugi/5
,,"Сантехник, ремонт квартир - Марк","Услуги (114) ","
				Сантехник, ремонт квартир - Марк
				Хайфа-Крайот-Акко								Тел. 054-4939145",http://info24.co.il/coupons/vse-goroda/uslugi/5
mailto:naembader@gmail.com,naembader@gmail.com,"Адвокат-нотариус в Нагарии Наим Бадер","Услуги (114) ","
				Адвокат-нотариус в Нагарии Наим Бадер
				ул. Лохамей ХаГетаот 12/4, Нагария				(2-й эт.)				Тел. 04-9511592				Факс. 04-9517667naembader@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/5
mailto:benista@netvision.net.il,benista@netvision.net.il,"Адвокат в Хайфе Бениста Бецалель","Услуги (114) ","
				Адвокат в Хайфе Бениста Бецалель
				ул. Комой 3, Хайфа								Тел. 050-9236632, 073-7373586benista@netvision.net.il",http://info24.co.il/coupons/vse-goroda/uslugi/5
mailto:Danny_y@012.net.il,Danny_y@012.net.il,"Бухгалтерия и аудит ""Ирина и Дани""","Услуги (114) ","
				Бухгалтерия и аудит ""Ирина и Дани""
				ул. Тель-Авив 1, Хайфа				(2-й эт.)				Тел. 04-8507710, 054-7933989				Факс. 04-8507855Danny_y@012.net.ilhttp://cpa4all.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/5
mailto:karlaw@smile.net.il,karlaw@smile.net.il,"Адвокат - нотариус Яков Кармон","Услуги (114) ","
				Адвокат - нотариус Яков Кармон
				Кирьят Моцкин								Тел. 04-8438232karlaw@smile.net.il",http://info24.co.il/coupons/vse-goroda/uslugi/5
,,"Вэб-дизайн и фирменный стиль ""Troi-Design""","Услуги (114) ","
				Вэб-дизайн и фирменный стиль ""Troi-Design""
				Весь Израиль								Тел. 054-4947535, 050-8958066http://www.troi.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/5
mailto:dabbah_adv@bezeqint.net,dabbah_adv@bezeqint.net,"Адвокат-нотариус Даббах Ясир","Услуги (114) ","
				Адвокат-нотариус Даббах Ясир
				ул. ХаГалиль 7/1, Кармиэль								Тел. 04-9080336, 054-7928297				Факс. 04-9080336dabbah_adv@bezeqint.net",http://info24.co.il/coupons/vse-goroda/uslugi/5
,,"Недвижимость в Маалоте - Тивух Шилаит","Услуги (114) ","
				Недвижимость в Маалоте - Тивух Шилаит
				ул. Рав Кук 20, Маалот				(Мерказ Месхари Хадаш)				Тел. 04-9974888, 054-2803166, 054-4480044				Факс. 04-9974888",http://info24.co.il/coupons/vse-goroda/uslugi/6
mailto:alabama@netvision.net.il,alabama@netvision.net.il,"Адвокат Эйтан Боярски","Услуги (114) ","
				Адвокат Эйтан Боярски
				ул. Дерех Акко 140, Кирьят Бялик				(т.ц. ""Цабар"", 47-й каб.)				Тел. 050-8249119alabama@netvision.net.ilhttps://facebook.com/itanb2000",http://info24.co.il/coupons/vse-goroda/uslugi/6
mailto:maman1220@walla.com,maman1220@walla.com,"Недвижимость в Хайфе и Крайот ""Maman""","Услуги (114) ","
				Недвижимость в Хайфе и Крайот ""Maman""
				ул. Трумпельдор 39, Хайфа								Тел. 077-3241158, 052-2227870				Факс. 077-5340720maman1220@walla.com",http://info24.co.il/coupons/vse-goroda/uslugi/6
,,"Адвокат Хамади Рафик","Услуги (114) ","
				Адвокат Хамади Рафик
				ул. Дерех Акко 140, Кирьят Бялик				(Перекресток ""Цабар"")				Тел. 04-8717259				Факс. 04-8707543",http://info24.co.il/coupons/vse-goroda/uslugi/6
mailto:rteam07@walla.com,rteam07@walla.com,"Бюро переводов, изготовление печатей ""R-Team""","Услуги (114) ","
				Бюро переводов, изготовление печатей ""R-Team""
				Меилия				(рядом с АЗС ""Sonol"")				Тел. 04-9916920, 052-2850950				Факс. 04-9916921rteam07@walla.comhttp://r-team.co.il",http://info24.co.il/coupons/vse-goroda/uslugi/6
mailto:Dabbah.h.adv@gmail.com,Dabbah.h.adv@gmail.com,"Адвокат-нотариус Даббах Хссейн","Услуги (114) ","
				Адвокат-нотариус Даббах Хссейн
				ул. Морад ХаГай 100/4, Кармиэль				(т.ц. ""Лев Кармиэль"")				Тел. 04-9587335, 054-8111195				Факс. 153-548-111195Dabbah.h.adv@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/6
,,"Ссуды ""Ям Цалюль""","Услуги (114) ","
				Ссуды ""Ям Цалюль""
				ул. ХаГистадрут 211, Хайфа								Тел. 04-8493710, 052-5033223				Факс. 04-8493708",http://info24.co.il/coupons/vse-goroda/uslugi/6
,,"Уничтожение насекомых и грызунов ""Збанг""","Услуги (114) ","
				Уничтожение насекомых и грызунов ""Збанг""
				Крайот, Акко, Нагария, Маалот, Шломи								Тел. 050-5688240",http://info24.co.il/coupons/vse-goroda/uslugi/6
mailto:etzuvim@gmail.com,etzuvim@gmail.com,"Строительство и дизайн ""R.V.R.P. Ицувим""","Услуги (114) ","
				Строительство и дизайн ""R.V.R.P. Ицувим""
				ул. Иерушалайм 12, Кирьят Бялик								Тел. 077-2016334, 050-2020061, 052-4678309				Факс. 077-2016334etzuvim@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/6
mailto:asanv.leg@rambler.ru,asanv.leg@rambler.ru,"Строительные работы ""Шипуцим Клалим""","Услуги (114) ","
				Строительные работы ""Шипуцим Клалим""
				Север Израиля								Тел. 054-8008824, 052-3941221asanv.leg@rambler.ru",http://info24.co.il/coupons/vse-goroda/uslugi/6
mailto:mixael777@gmail.com,mixael777@gmail.com,"Маклерская контора ""Сохнут Иерушалайм""","Услуги (114) ","
				Маклерская контора ""Сохнут Иерушалайм""
				ул. Йерушалайм 13, Кирьят Ям								Тел. 050-5610883, 04-8707778, 052-6003637				Факс. 04-8734918mixael777@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/6
mailto:beithanadlan@gmail.com,beithanadlan@gmail.com,"Агентство по недвижимости ""Байт ХаНадлан""","Услуги (114) ","
				Агентство по недвижимости ""Байт ХаНадлан""
				ул. Моше Шарет 7, Кирьят Ям								Тел. 04-8708114, 052-3102827 				Факс. 04-8708115beithanadlan@gmail.com",http://info24.co.il/coupons/vse-goroda/uslugi/6
